mes_ano,consumo_energia_eletrica_GWh
2003-01-31,25.152
2003-02-28,24.965
2003-03-31,25.281
2003-04-30,24.787
2003-05-31,24.889
2003-06-30,24.535
2003-07-31,24.443
2003-08-31,24.629
2003-09-30,24.621
2003-10-31,25.715
2003-11-30,25.786
2003-12-31,26.189
2004-01-31,26.799
2004-02-29,26.335
2004-03-31,27.097
2004-04-30,27.866
2004-05-31,27.064
2004-06-30,26.907
2004-07-31,27.17
2004-08-31,27.479
2004-09-30,28.056
2004-10-31,28.368
2004-11-30,28.185
2004-12-31,28.381
2005-01-31,28.22
2005-02-28,27.699
2005-03-31,28.445
2005-04-30,29.207
2005-05-31,28.482
2005-06-30,28.326
2005-07-31,28.322
2005-08-31,28.611
2005-09-30,29.187
2005-10-31,29.145
2005-11-30,29.288
2005-12-31,29.352
2006-01-31,28.881
2006-02-28,29.383
2006-03-31,29.898
2006-04-30,29.888
2006-05-31,28.925
2006-06-30,29.069
2006-07-31,29.114
2006-08-31,29.886
2006-09-30,29.917
2006-10-31,30.144
2006-11-30,30.531
2006-12-31,30.494
2007-01-31,30.7
2007-02-28,30.325
2007-03-31,31.313
2007-04-30,32.031
2007-05-31,31.383
2007-06-30,30.767
2007-07-31,30.5
2007-08-31,31.181
2007-09-30,31.736
2007-10-31,32.136
2007-11-30,32.654
2007-12-31,32.305
2008-01-31,31.856
2008-02-29,31.731
2008-03-31,32.119
2008-04-30,31.953
2008-05-31,32.3
2008-06-30,31.743
2008-07-31,32.15
2008-08-31,33.014
2008-09-30,32.964
2008-10-31,33.674
2008-11-30,33.41
2008-12-31,31.559
2009-01-31,30.667
2009-02-28,30.495
2009-03-31,31.978
2009-04-30,32.043
2009-05-31,30.945
2009-06-30,30.715
2009-07-31,31.325
2009-08-31,32.262
2009-09-30,32.717
2009-10-31,33.42
2009-11-30,33.617
2009-12-31,34.123
2010-01-31,33.362
2010-02-28,33.731
2010-03-31,35.118
2010-04-30,35.027
2010-05-31,34.298
2010-06-30,34.171
2010-07-31,33.851
2010-08-31,34.715
2010-09-30,35.184
2010-10-31,35.19
2010-11-30,35.079
2010-12-31,35.958
2011-01-31,35.875
2011-02-28,35.446
2011-03-31,36.352
2011-04-30,36.05
2011-05-31,35.567
2011-06-30,35.161
2011-07-31,35.419
2011-08-31,36.337
2011-09-30,36.967
2011-10-31,36.745
2011-11-30,36.37
2011-12-31,36.744
2012-01-31,36.305
2012-02-29,36.901
2012-03-31,38.623
2012-04-30,37.996
2012-05-31,36.81
2012-06-30,36.528
2012-07-31,35.917
2012-08-31,37.18
2012-09-30,37.662
2012-10-31,37.796
2012-11-30,38.644
2012-12-31,37.765
2013-01-31,38.367
2013-02-28,38.006
2013-03-31,38.442
2013-04-30,38.654
2013-05-31,38.345
2013-06-30,37.628
2013-07-31,37.698
2013-08-31,38.613
2013-09-30,38.525
2013-10-31,39.489
2013-11-30,40.003
2013-12-31,39.593
2014-01-31,40.551
2014-02-28,41.944
2014-03-31,40.498
2014-04-30,39.792
2014-05-31,39.291
2014-06-30,37.92
2014-07-31,38.071
2014-08-31,38.75
2014-09-30,39.085
2014-10-31,40.291
2014-11-30,41.158
2014-12-31,40.073
2015-01-31,40.635
2015-02-28,40.605
2015-03-31,39.602
2015-04-30,39.433
2015-05-31,38.05
2015-06-30,37.131
2015-07-31,36.684
2015-08-31,37.725
2015-09-30,37.716
2015-10-31,39.168
2015-11-30,39.114
2015-12-31,38.539
2016-01-31,38.225
2016-02-29,38.504
2016-03-31,39.233
2016-04-30,40.087
2016-05-31,38.496
2016-06-30,37.371
2016-07-31,37.097
2016-08-31,37.624
2016-09-30,38.293
2016-10-31,38.083
2016-11-30,38.647
2016-12-31,38.721
2017-01-31,39.24
2017-02-28,38.576
2017-03-31,40.408
2017-04-30,39.188
2017-05-31,38.034
2017-06-30,37.864
2017-07-31,37.223
2017-08-31,37.658
2017-09-30,38.773
2017-10-31,39.152
2017-11-30,39.629
2017-12-31,39.396
2018-01-31,39.509
2018-02-28,39.225
2018-03-31,39.968
2018-04-30,40.606
2018-05-31,39.143
2018-06-30,37.791
2018-07-31,37.894
2018-08-31,38.596
2018-09-30,39.08
2018-10-31,39.742
2018-11-30,40.318
2018-12-31,39.771
2019-01-31,41.142
2019-02-28,41.162
2019-03-31,40.938
2019-04-30,39.534
2019-05-31,40.435
2019-06-30,38.213
2019-07-31,38.265
2019-08-31,38.613
2019-09-30,39.183
2019-10-31,40.959
2019-11-30,41.7
2019-12-31,40.638
2020-01-31,41.144
2020-02-29,40.697
2020-03-31,40.946
2020-04-30,37.116
2020-05-31,36.051
2020-06-30,35.63
2020-07-31,37.715
2020-08-31,39.122
2020-09-30,40.227
2020-10-31,42.426
2020-11-30,40.986
2020-12-31,41.884
2021-01-31,42.531
2021-02-28,41.254
2021-03-31,43.416
2021-04-30,42.432
2021-05-31,40.351
2021-06-30,40.179
2021-07-31,39.941
2021-08-31,40.629
2021-09-30,41.985
2021-10-31,42.622
2021-11-30,41.932
2021-12-31,42.937
